ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Spanish_Gloss
1_beeshive,"bees, hive",,,1,"abejas, panal"
2_slap,slap,,,2,abofetear
3_openeyes,open eyes,,,3,abrir ojos
4_maternalgrandmother,maternal grandmother,,,4,abuela materna
5_maternalgrandfather,maternal grandfather,,,5,abuelo materno
6_happenoccur,"happen, occur",,,6,acontecer
7_liedown,lie down,215,LIE DOWN,7,acostarse
8_adobe,adobe,901,ADOBE,8,adobe
9_sharp,sharp,1396,SHARP,9,afilado
10_becomeslack,become slack,,,10,aflojarse
11_crouch,crouch,296,CROUCH,11,agacharse
12_becomeusedupspent,"become used up, spent",,,12,agotar
13_becomeusedupspent,"become used up, spent",,,13,agotarse
14_sour,sour,1906,SOUR,14,agrio
15_water,water,948,WATER,15,agua
16_eagle,eagle,1905,EAGLE,16,águila
17_hawk,hawk,,,17,aguililla
18_wing,wing,1257,WING,18,ala
19_cotton,cotton,1850,COTTON,19,algodón
20_sunrise,sunrise,2296,SUNRISE,20,amanecer
21_bitter,bitter,887,BITTER,21,amargo
22_yellow,yellow,1424,YELLOW,22,amarillo
23_fastentie,"fasten, tie",1094,FASTEN,23,amarrar
24_domesticanimal,domestic animal,,,24,animal doméstico
25_fishhook,fishhook,1074,FISHHOOK,25,anzuelo
26_diedownfire,die down (fire),,,26,apagarse
27_learn,learn,504,LEARN,27,aprender
28_spider,spider,843,SPIDER,28,araña
29_bow,bow,994,BOW,29,arco
30_burn,burn,1428,BURNING,30,arder
31_sand,sand,671,SAND,31,arena
32_ripoffpull,"rip off, pull",,,32,arrancar
33_smallriverstream,"small river, stream",3311,FLOWING BODY OF WATER,33,arroyo
34_wrinkle,wrinkle,,,34,arrugarse
35_roast,roast,1962,ROAST (SOMETHING),35,asar
36_becomefilledup,become filled up,,,36,atascarse
37_buzzardturkeyvulture,"buzzard, turkey vulture",,,37,aura
38_wasp,wasp,1517,WASP,38,avispa
39_help,help,1897,HELP,39,ayudar
40_whip,whip,2630,WHIP,40,azotar
41_catfish,catfish,,,41,bagre
42_dance,dance,1879,DANCE,42,bailar
43_bathe,bathe,138,BATHE,43,bañarse
44_beard,beard,,,44,barbas
45_drink,drink,1401,DRINK,45,beber
46_white,white,1335,WHITE,46,blanco
47_whitepersonmestizo,"white person, mestizo",,,47,blanco de raza
48_mouth,mouth,674,MOUTH,48,boca
49_ball,ball,,,49,bola
50_embers,embers,,,50,brasa
51_armhand,"arm, hand",2121,ARM OR HAND,51,"brazo, mano"
52_good,good,1035,GOOD,52,bueno
53_owl,owl,735,OWL,53,buho
54_hair,hair,1040,HAIR,54,cabello
55_head,head,1256,HEAD,55,cabeza
56_falldown,fall down,,,56,caerse
57_losehair,lose hair,,,57,caerse el cabello
58_shrimp,shrimp,,,58,camarón
59_pathroad,"path, road",2252,PATH,59,camino
60_cane,cane,146,SUGAR CANE,60,caña
61_becometired,become tired,,,61,cansarse
62_sing,sing,1261,SING,62,cantar
63_meat,meat,634,MEAT,63,carne
64_fleshbody,"flesh, body",2615,FLESH OR MEAT,64,"carne, cuerpo"
65_reeds,reeds,,,65,carrizo
66_house,house,1252,HOUSE,66,casa
67_marrymalesubject,marry (male subject),,,67,casarse el hombre
68_hunt,hunt,1435,HUNT,68,cazar
69_ash,ash,646,ASH,69,ceniza
70_shut,shut,1046,SHUT,70,cerrar
71_closeeyes,close eyes,,,71,cerrar los ojos
72_hill,hill,614,HILL,72,cerro
73_basket,basket,1539,BASKET,73,cesto
74_grasshopper,grasshopper,,,74,chapulín
75_whistle,whistle,1025,WHISTLE,75,chiflar
76_chili,chili,,,76,chile
77_sky,sky,1732,SKY,77,cielo
78_centipede,centipede,1974,CENTIPEDE,78,ciempiés
79_five,five,493,FIVE,79,cinco
80_typeofsparrowhawk,type of sparrowhawk,,,80,clase de gavilán
81_typeofant,type of ant,,,81,clase de hormiga
82_typeofagave,type of agave,,,82,clase de mezcal
83_diggingstick,digging stick,,,83,coa
84_blanket,blanket,806,BLANKET,84,cobija
85_bakeinoven,bake in oven,,,85,cocer al horno
86_picktake,"pick, take",2148,PICK,86,coger
87_tail,tail,1220,TAIL,87,cola
88_necklace,necklace,1961,NECKLACE,88,collar
89_eat,eat,1336,EAT,89,comer
90_shell,shell,598,SHELL,90,concha
91_rabbit,rabbit,1136,RABBIT,91,conejo
92_tuft,tuft,,,92,copete
93_heart,heart,1223,HEART,93,corazón
94_cut,cut,1432,CUT,94,cortar
95_becut,be cut,,,95,cortarse
96_coyote,coyote,912,COYOTE,96,coyote
97_becomeolder,become older,,,97,crecer en edad
98_believe,believe,1890,BELIEVE,98,creer
99_fawn,fawn,,,99,cría de venado
100_raw,raw,1959,RAW,100,crudo
101_four,four,1500,FOUR,101,cuatro
102_knife,knife,1352,KNIFE,102,cuchillo
103_neck,neck,1333,NECK,103,cuello
104_horn,horn,1393,HORN (ANATOMY),104,cuerno
105_body,body,1480,BODY,105,cuerpo
106_crow,crow,913,CROW,106,cuervo
107_cave,cave,1155,CAVE,107,cueva
108_snake,snake,,,108,culebra
109_sisterinlaw,sister in-law,2317,SISTER-IN-LAW,109,cuñada
110_cure,cure,499,CURE,110,curar
111_give,give,1447,GIVE,111,dar
112_turnsomething,turn something,,,112,darle vuelta
113_say,say,1458,SAY,113,decir
114_defecatemanure,"defecate, manure",676,SHIT (DEFECATE),114,"defecar, estiercol"
115_spill,spill,,,115,derramarse
116_desire,desire,2117,DESIRE,116,desear
117_becomeusedwornout,"become used, worn out",,,117,desgastarse
118_thresh,thresh,285,THRESH,118,desgranar
119_tooth,tooth,1380,TOOTH,119,diente
120_ten,ten,1515,TEN,120,diez
121_sleep,sleep,1585,SLEEP,121,dormirse
122_two,two,1498,TWO,122,dos
123_sweet,sweet,717,SWEET,123,dulce
124_freshcorncob,fresh corncob,,,124,elote
125_becomedrunk,become drunk,,,125,emborracharse
126_oak,oak,,,126,encino
127_enemywarrior,"enemy, warrior",1358,ENEMY,127,"enemigo, bravo"
128_enemyconfront,"enemy, confront",1358,ENEMY,128,"enemigo, enfrentarse"
129_cooldown,cool down,,,129,enfriarse
130_enter,enter,749,ENTER,130,entrar
131_becomenumb,become numb,,,131,entumecerse
132_send,send,1127,SEND,132,enviar
133_scorpion,scorpion,1538,SCORPION,133,escorpión
134_write,write,1672,WRITE,134,escribir
135_back,back,1291,BACK,135,espalda
136_corntassel,corn tassel,,,136,espiga
137_thornneedle,"thorn, needle",124,THORN,137,"espina, aguja"
138_bestung,be stung,,,138,espinarse
139_wife,wife,1199,WIFE,139,esposa
140_beatplace,be (at place),1442,STAND,140,estar
141_bewarm,be warm,1341,HEAT UP,141,estar caliente / calentar
142_besick,be sick,1847,SICK,142,estar enfermo
143_beincontainer,be (in container),,,143,estar en recipiente
144_mat,mat,195,MAT,144,estera
145_stretch,stretch,214,STRETCH,145,estirar
146_sneeze,sneeze,1621,SNEEZE,146,estornudar
147_star,star,1430,STAR,147,estrella
148_belt,belt,772,BELT,148,faja
149_shootarrow,shoot arrow,,,149,flechar
150_flower,flower,239,FLOWER,150,flor
151_forehead,forehead,123,FOREHEAD,151,frente
152_bean,bean,832,BEAN,152,frijol
153_fruit,fruit,1507,FRUIT,153,fruta
154_smoke,smoke,1689,SMOKE (INHALE),154,fumar
155_win,win,,,155,ganar en el juego
156_heron,heron,758,HERON,156,garza
157_wildcat,wild cat,,,157,gato montés
158_big,big,1202,BIG,158,grande
159_hail,hail,609,HAIL,159,granizo
160_grease,grease,323,FAT (ORGANIC SUBSTANCE),160,grasa
161_shout,shout,715,SHOUT,161,gritar
162_singshout,"sing, shout",1261,SING,162,"gritar, cantar"
163_cranebird,crane (bird),,,163,grulla
164_parrot,parrot,,,164,guacamaya
165_turkey,turkey,,,165,guajolote
166_keepprotect,"keep, protect",2900,PROTECT,166,guardar
167_worm,worm,1219,WORM,167,gusano
168_belight,be light,,,168,haber luz
169_talk,talk,2708,TALK,169,hablar
170_bewarm,be warm,,,170,hacer calor
171_find,find,719,FIND,171,hallar
172_becomefedup,become fed up,,,172,hartarse
173_stink,stink,,,173,heder
174_,,,,174,henderse
175_oldersister,older sister,1758,OLDER SISTER,175,hermana mayor
176_oldersister,older sister,,,176,hermana mayor del padre
177_youngersister,younger sister,1761,YOUNGER SISTER,177,hermana menor
178_mothersyoungersister,mother's younger sister,,,178,hermana menor de la madre
179_fathersyoungersister,father's younger sister,,,179,hermana menor del padre
180_olderbrother,olde rbrother,1759,OLDER BROTHER,180,hermano mayor
181_fathersolderbrother,father's older brother,,,181,hermano mayor del padre
182_youngerbrother,younger brother,1760,YOUNGER BROTHER,182,hermano menor
183_mothersyoungerbrother,mother's younger brother,,,183,hermano menor de la madre
184_boilinwater,boil (in water),,,184,hervirse
185_liver,liver,1224,LIVER,185,hígado
186_fig,fig,322,FIG,186,higo
187_daughteroffather,daughter of father,,,187,hija del padre
188_son,son,1620,SON,188,hijo
189_sonoffather,son of father,,,189,hijo del padre
190_spin,spin,121,SPIN,190,hilar
191_leaf,leaf,628,LEAF,191,hoja
192_man,man,1554,MAN,192,hombre
193_sandals,sandals,,,193,huaraches
194_bone,bone,1394,BONE,194,hueso
195_egg,egg,744,EGG,195,huevo
196_tosmokefire,to smoke (fire),,,196,humear
197_smoke,smoke,778,SMOKE (EXHAUST),197,humo
198_winter,winter,1471,WINTER,198,invierno
199_go,go,695,GO,199,ir
200_foranearofcorntoform,for an ear of corn to form,,,200,jilotear
201_long,long,,,201,larpo
202_wash,wash,1453,WASH,202,lavar
203_far,far,1406,FAR,203,lejos
204_tongue,tongue,1205,TONGUE,204,lengua
205_lioncougar,lion (cougar),1386,LION,205,león
206_hare,hare,1190,HARE,206,liebre
207_cleanup,clean up,,,207,limpiarse
208_wound,wound,1109,WOUND,208,llaga
209_plain,plain,652,PLAIN,209,llano
210_arrivereach,"arrive, reach",,,210,llegarse
211_cry,cry,1839,CRY,211,llorar
212_torain,to rain,2108,RAINING OR RAIN,212,llover
213_mud,mud,640,MUD,213,lodo
214_hill,hill,2118,MOUNTAIN OR HILL,214,loma
215_fire,fire,221,FIRE,215,lumbre
216_moon,moon,1313,MOON,216,luna
217_male,male,1553,MALE,217,"macho, varón"
218_mother,mother,1216,MOTHER,218,madre
219_ripenbecomecooked,"ripen, become cooked",,,219,"madurarse, cocerse"
220_maize,maize,506,MAIZE,220,maíz
221_suckle,suckle,1421,SUCK,221,mamar
222_hand,hand,1277,HAND,222,mano
223_husband,husband,1200,HUSBAND,223,marido
224_pig,pig,,,224,marrano
225_chew,chew,321,CHEW,225,masticar
226_plantwithhornedfruits,plant with horned fruits,,,226,mata de fruta con cuernos
227_kill,kill,1417,KILL,227,matar
228_killseveral,kill several,1417,KILL,228,matar (compl. plur.)
229_grindstone,grindstone,,,229,metate
230_agave,agave,,,230,mezcal
231_mucusslimesnot,"mucus, slime, snot",208,NASAL MUCUS (SNOT),231,"moco, catarro"
232_becomewet,become wet,,,232,mojarse
233_grind,grind,1033,GRIND,233,moler
234_bite,bite,1403,BITE,234,morder
235_dieseveral,die (several),,,235,morirse (suj. plur.)
236_dieone,die (one),,,236,morirse (suj sg.)
237_fly,fly,1504,FLY (INSECT),237,mosca
238_many,many,1198,MANY,238,mucho
239_bat,bat,1793,BAT,239,murciélago
240_thigh,thigh,471,UPPER LEG (THIGH),240,muslo
241_nose,nose,1221,NOSE,241,nariz
242_nerve,nerve,2626,NERVE,242,nervio
243_nest,nest,539,NEST,243,nido
244_snow,snow,784,SNOW,244,nieve
245_nightdarkness,"night, darkness",1233,NIGHT,245,"noche, obscuridad"
246_name,name,1405,NAME,246,nombre
247_cloud,cloud,1489,CLOUD,247,nube
248_new,new,1231,NEW,248,nuevo
249_darken,darken,,,249,obscurecerse
250_pine,pine,,,250,ocote
251_eye,eye,1248,EYE,251,ojo
252_stink,stink,1587,SMELL (STINK),252,oler (mal)
253_degrainedcorncob,degrained corncob,,,253,olote
254_navel,navel,1838,NAVEL,254,ombligo
255_ear,ear,1247,EAR,255,oreja
256_urinate,urinate,592,PISS,256,orinar
257_urine,urine,,,257,orines
258_dark,dark,706,DARK,258,oscuro
259_bird,bird,937,BIRD,259,pájaro
260_palmtree,palm tree,1183,PALM OF HAND,260,palma
261_stickwood,"stick, wood",1295,STICK,261,"palo, madera"
262_belly,belly,1251,BELLY,262,panza
263_potato,potato,593,POTATO,263,papa
264_standup,stand up,,,264,pararse
265_eyelid,eyelid,,,265,párpados
266_kick,kick,1135,KICK,266,patear
267_chest,chest,1592,CHEST,267,pecho
268_askrequest,"ask, request",1828,ASK (REQUEST),268,pedir
269_tocomb,to comb,,,269,peinarse
270_hairwool,"hair, wool",2381,FEATHER OR FUR OR HAIR,270,"pelo, lana"
271_penis,penis,1222,PENIS,271,pene
272_loseinagame,lose in a game,,,272,perder en el juego
273_dog,dog,2009,DOG,273,perro
274_pursue,pursue,1047,PURSUE,274,perseguir
275_heavy,heavy,1210,HEAVY,275,pesado
276_fish,fish,227,FISH,276,pescado
277_sting,sting,571,STING,277,picar
278_foot,foot,1301,FOOT,278,pie
279_stone,stone,857,STONE,279,piedra
280_skin,skin,763,SKIN,280,piel
281_legknee,"leg, knee",1297,LEG,281,"pierna, rodilla"
282_pine,pine,1740,PINE,282,pino
283_headlouse,head louse,,,283,piojo de la cabeza
284_tread,tread,575,TREAD,284,pisar
285_feather,feather,1201,FEATHER,285,pluma
286_beableto,be able to,2526,POWER,286,poder
287_rot,rot,,,287,"podrirse, podre"
288_makefire,make fire,,,288,prender lumbre
289_flea,flea,232,FLEA,289,pulga
290_tip,tip,2992,TIP (OF OBJECT),290,punta
291_beleft,be left,,,291,"quedarse, faltar"
292_complain,complain,,,292,quejarse
293_root,root,670,ROOT,293,raíz
294_split,split,,,294,rajarse
295_frog,frog,503,FROG,295,rana
296_scrape,scrape,1767,SCRAPE,296,raspar
297_cornstubble,corn stubble,,,297,rastrojo
298_rat,rat,1490,RAT,298,rata
299_mouse,mouse,1491,MOUSE,299,ratón
300_givegift,give gift,,,300,regalar
301_scold,scold,,,301,regañar
302_return,return,581,COME BACK,302,regresar
303_laugh,laugh,,,303,reírse
304_tadpole,tadpole,,,304,renacuajo
305_steal,steal,713,STEAL,305,robar
306_knee,knee,1371,KNEE,306,rodilla
307_red,red,156,RED,307,rojo
308_know,know,1410,KNOW (SOMETHING),308,saber
309_salt,salt,1274,SALT,309,sal
310_goout,go out,1107,GO OUT,310,salir
311_blood,blood,946,BLOOD,311,sangre
312_toad,toad,894,TOAD,312,sapo
313_todry,to dry,,,313,secarse
314_six,six,1703,SIX,314,seis
315_sowseeds,sow seeds,748,SOW SEEDS,315,sembrar
316_seed,seed,714,SEED,316,semilla
317_sitdown,sit down,1649,SIT DOWN,317,sentarse
318_sitdownseveral,sit down (several),,,318,sentarse (suj. plur.)
319_feeldesire,"feel, desire",1079,FEEL,319,"sentir, desear"
320_bedeep,be deep,,,320,ser hondo
321_snake,snake,730,SNAKE,321,serpiente
322_sun,sun,1343,SUN,322,sol
323_becomelooseuntie,"become loose, untie",,,323,soltarse
324_shadeshadow,"shade, shadow",1388,SHADE,324,sombra
325_blow,blow,176,BLOW (WITH MOUTH),325,soplar
326_goupascend,"go up, ascend",705,GO UP (ASCEND),326,subir
327_motherinlaw,mother in-law,1050,MOTHER-IN-LAW,327,suegra
328_fatherinlaw,father in-law,1055,FATHER-IN-LAW,328,suegro
329_tobacco,tobacco,974,TOBACCO,329,tabaco
330_layouthorizontallyextend,"lay out horizontally, extend",214,STRETCH,330,tender
331_belazyhavedifficulties,"be lazy, have difficulties",,,331,"tener dificultad, ser flojo"
332_bescared,be scared,,,332,tener miedo
333_beashamed,be ashamed,,,333,tener vergüenza
334_breastteat,"breast, teat",1402,BREAST,334,teta
335_earthsoil,"earth, soil",1228,EARTH (SOIL),335,tierra
336_fieldforsowing,field for sowing,,,336,tierra de siembra
337_tigerjaguar,tiger (jaguar),846,TIGER,337,tigre
338_throw,throw,,,338,tirarle
339_playmusic,play music,,,339,tocar música
340_mole,mole,,,340,topo
341_turtle,turtle,112,TURTLE,341,tortuga
342_cough,cough,879,COUGH,342,toser
343_totoast,to toast,,,343,tostar
344_three,three,492,THREE,344,tres
345_intestine,intestine,1251,BELLY,345,tripa
346_pricklypear,prickly pear,,,346,tuna
347_nail,nail,1896,FINGERNAIL OR TOENAIL,347,uña
348_one,one,1493,ONE,348,uno
349_deer,deer,1936,DEER,349,venado
350_muledeer,mule deer,,,350,venado bura
351_see,see,1409,SEE,351,ver
352_bluegreen,"blue, green",2382,BLUE OR GREEN,352,"verde, azul"
353_wart,wart,,,353,verruga
354_rattlesnake,rattlesnake,,,354,víbora de cascabel
355_old,old,1229,OLD,355,viejo
356_wind,wind,960,WIND,356,viento
357_tofly,to fly,1441,FLY (MOVE THROUGH AIR),357,volar
358_vomit,vomit,1278,VOMIT,358,vomitar
359_soninlaw,son in-law,1056,SON-IN-LAW,359,yerno
360_mosquito,mosquito,1509,MOSQUITO,360,zancudo
361_vuture,vuture,,,361,zopilote
362_skunk,skunk,,,362,zorillo
363_fox,fox,,,363,zorra
364_leavebehind,leave (behind),2896,CAUSE TO (LET),364,dejar
